------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.16
downloading device type, iphone
device, Laser Revolution
downloading mode, manual
------------------------------,--------------------
serial number, 04BB FA00 CD56 0D
custom name, SHe4fiddle
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4809
time diff [logger-smartphone](sec), 92
lat, 22.317291
long, 114.228048
accuracy (m), 65.0
------------------------------,--------------------
time,temp
2021-08-13 03:19:06,27.5
2021-08-13 03:34:06,28.5
2021-08-13 03:49:06,28.9
2021-08-13 04:04:06,28.8
2021-08-13 04:19:06,29.0
2021-08-13 04:34:06,29.8
2021-08-13 04:49:06,31.2
2021-08-13 05:04:06,34.2
2021-08-13 05:19:06,34.1
2021-08-13 05:34:06,32.9
2021-08-13 05:49:06,32.6
2021-08-13 06:04:06,31.9
2021-08-13 06:19:06,34.0
2021-08-13 06:34:06,35.4
2021-08-13 06:49:06,36.7
2021-08-13 07:04:06,36.1
2021-08-13 07:19:06,35.3
2021-08-13 07:34:06,36.4
2021-08-13 07:49:06,33.3
2021-08-13 08:04:06,31.1
2021-08-13 08:19:06,31.1
2021-08-13 08:34:06,30.8
2021-08-13 08:49:06,29.6
2021-08-13 09:04:06,30.0
2021-08-13 09:19:06,31.2
2021-08-13 09:34:06,30.6
2021-08-13 09:49:06,30.8
2021-08-13 10:04:06,29.7
2021-08-13 10:19:06,29.3
2021-08-13 10:34:06,28.6
2021-08-13 10:49:06,28.1
2021-08-13 11:04:06,28.0
2021-08-13 11:19:06,27.4
2021-08-13 11:34:06,27.1
2021-08-13 11:49:06,27.2
2021-08-13 12:04:06,27.4
2021-08-13 12:19:06,27.6
2021-08-13 12:34:06,27.7
2021-08-13 12:49:06,27.8
2021-08-13 13:04:06,27.8
2021-08-13 13:19:06,27.8
2021-08-13 13:34:06,27.7
2021-08-13 13:49:06,27.5
2021-08-13 14:04:06,27.6
2021-08-13 14:19:06,27.6
2021-08-13 14:34:06,27.7
2021-08-13 14:49:06,27.7
2021-08-13 15:04:06,27.7
2021-08-13 15:19:06,27.7
2021-08-13 15:34:06,27.6
2021-08-13 15:49:06,27.7
2021-08-13 16:04:06,27.6
2021-08-13 16:19:06,27.7
2021-08-13 16:34:06,27.8
2021-08-13 16:49:06,27.7
2021-08-13 17:04:06,27.7
2021-08-13 17:19:06,27.6
2021-08-13 17:34:06,27.8
2021-08-13 17:49:06,27.7
2021-08-13 18:04:06,27.6
2021-08-13 18:19:06,27.8
2021-08-13 18:34:06,27.7
2021-08-13 18:49:06,27.8
2021-08-13 19:04:06,27.8
2021-08-13 19:19:06,27.8
2021-08-13 19:34:06,27.8
2021-08-13 19:49:06,27.7
2021-08-13 20:04:06,27.8
2021-08-13 20:19:06,27.8
2021-08-13 20:34:06,27.9
2021-08-13 20:49:06,27.8
2021-08-13 21:04:06,28.0
2021-08-13 21:19:06,27.9
2021-08-13 21:34:06,27.9
2021-08-13 21:49:06,26.7
2021-08-13 22:04:06,26.3
2021-08-13 22:19:06,26.0
2021-08-13 22:34:06,26.1
2021-08-13 22:49:06,26.1
2021-08-13 23:04:06,25.8
2021-08-13 23:19:06,25.7
2021-08-13 23:34:06,26.3
2021-08-13 23:49:06,26.2
2021-08-14 00:04:06,26.0
2021-08-14 00:19:06,26.6
2021-08-14 00:34:06,26.9
2021-08-14 00:49:06,26.6
2021-08-14 01:04:06,27.7
2021-08-14 01:19:06,27.3
2021-08-14 01:34:06,28.0
2021-08-14 01:49:06,28.1
2021-08-14 02:04:06,28.3
2021-08-14 02:19:06,28.3
2021-08-14 02:34:06,28.0
2021-08-14 02:49:06,28.7
2021-08-14 03:04:06,29.3
2021-08-14 03:19:06,30.1
2021-08-14 03:34:06,30.9
2021-08-14 03:49:06,29.2
2021-08-14 04:04:06,30.0
2021-08-14 04:19:06,27.1
2021-08-14 04:34:06,29.0
2021-08-14 04:49:06,30.4
2021-08-14 05:04:06,30.4
2021-08-14 05:19:06,31.6
2021-08-14 05:34:06,31.1
2021-08-14 05:49:06,33.6
2021-08-14 06:04:06,33.5
2021-08-14 06:19:06,31.7
2021-08-14 06:34:06,32.0
2021-08-14 06:49:06,31.1
2021-08-14 07:04:06,28.5
2021-08-14 07:19:06,28.2
2021-08-14 07:34:06,28.8
2021-08-14 07:49:06,29.4
2021-08-14 08:04:06,29.9
2021-08-14 08:19:06,29.3
2021-08-14 08:34:06,28.6
2021-08-14 08:49:06,27.8
2021-08-14 09:04:06,28.2
2021-08-14 09:19:06,28.5
2021-08-14 09:34:06,28.1
2021-08-14 09:49:06,27.8
2021-08-14 10:04:06,27.1
2021-08-14 10:19:06,26.9
2021-08-14 10:34:06,26.9
2021-08-14 10:49:06,26.6
2021-08-14 11:04:06,26.3
2021-08-14 11:19:06,26.3
2021-08-14 11:34:06,26.2
2021-08-14 11:49:06,26.1
2021-08-14 12:04:06,26.0
2021-08-14 12:19:06,26.0
2021-08-14 12:34:06,25.8
2021-08-14 12:49:06,25.7
2021-08-14 13:04:06,25.7
2021-08-14 13:19:06,25.9
2021-08-14 13:34:06,26.0
2021-08-14 13:49:06,26.0
2021-08-14 14:04:06,26.0
2021-08-14 14:19:06,25.9
2021-08-14 14:34:06,25.8
2021-08-14 14:49:06,25.6
2021-08-14 15:04:06,26.0
2021-08-14 15:19:06,26.0
2021-08-14 15:34:06,26.0
2021-08-14 15:49:06,26.1
2021-08-14 16:04:06,26.1
2021-08-14 16:19:06,26.3
2021-08-14 16:34:06,26.2
2021-08-14 16:49:06,26.2
2021-08-14 17:04:06,26.3
2021-08-14 17:19:06,26.0
2021-08-14 17:34:06,25.8
2021-08-14 17:49:06,25.9
2021-08-14 18:04:06,26.1
2021-08-14 18:19:06,26.0
2021-08-14 18:34:06,25.8
2021-08-14 18:49:06,25.8
2021-08-14 19:04:06,25.9
2021-08-14 19:19:06,25.8
2021-08-14 19:34:06,26.0
2021-08-14 19:49:06,26.0
2021-08-14 20:04:06,26.0
2021-08-14 20:19:06,25.8
2021-08-14 20:34:06,25.6
2021-08-14 20:49:06,25.7
2021-08-14 21:04:06,25.8
2021-08-14 21:19:06,25.7
2021-08-14 21:34:06,25.6
2021-08-14 21:49:06,25.6
2021-08-14 22:04:06,25.6
2021-08-14 22:19:06,25.8
2021-08-14 22:34:06,25.8
2021-08-14 22:49:06,26.1
2021-08-14 23:04:06,26.1
2021-08-14 23:19:06,26.2
2021-08-14 23:34:06,26.4
2021-08-14 23:49:06,26.4
2021-08-15 00:04:06,26.5
2021-08-15 00:19:06,26.1
2021-08-15 00:34:06,26.2
2021-08-15 00:49:06,27.1
